searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
barbie looks doll tall blonde pixie cut hcb78,7,25.99,54.99,32.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b4fd6f7e-6204-4d16-9aa4-6cbf642dc35a
barbie looks doll original brunette wavy hair gtd89,18,61.15,100.0,76.76,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b49de623-0ab6-465e-ad7b-9000fdcc91f0
barbie looks 14 black updo pink pant hjw81,2,26.5,220.0,123.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e4489d35-7924-4181-9ef3-9bd512fb7688
barbie looks 13 red hair red skirt hjw80,9,17.49,36.95,27.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fcaf69b5-afe2-4827-b6c5-31d44a59b57a
barbie looks doll petite brunette pixie cut gxb29,13,29.97,60.99,41.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7cc79bdf-2305-4de4-812b-06a9ff13aecd
barbie looks doll petite curly red hair hcb77,7,19.0,35.0,27.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cc7e18a4-4dc3-40cd-81c7-141824812822
barbie looks 15 brunette ponytail turquoise pink dress hjw82,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a150b3d4-9457-4cd7-8ad6-8e9a1a43dec2
barbie looks doll tall blonde gxb28,12,29.0,87.92,42.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-41dc94cf-58aa-4874-b062-643be06cfc8a
barbie looks doll with mix and match fashions hjx28,7,48.0,64.9,58.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5ebe25d5-88cc-41e0-8391-6edc6607a910
barbie looks ken doll blonde with facial hair gtd90,12,45.0,98.99,68.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-06f8a01f-378c-4590-873a-6dbc2f8f88e5
barbie looks ken doll brunette with braids bun hairstyle with braids bun hairstyle gxl14,3,65.0,90.25,78.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-69074aa2-1d77-4bf6-a240-015a211376f9
barbie looks 18 ken yellow shirt hjw85,7,33.0,49.99,44.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d499800f-94d1-4f23-9f13-55c9988c1e7a
barbie looks 17 ken pink shirt hjw84,12,17.8,49.43,29.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d5b99dd2-3576-4783-840e-eef0b5e179b3
barbie lunar new year doll gtj92,34,44.95,110.0,73.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9dc0e149-3e42-4931-9f33-850aacdc3ba5
barbie lunar new year doll designed by guo pei hcb86,9,98.0,139.99,108.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8a15138a-086d-4105-b43a-ba74a5995f20
barbie music series stevie nicks doll hmv00,33,186.69,275.0,200.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-17333c02-54c3-4436-aec0-a014e985ae0e
superbowl champion x barbie nfc jff35,1,28.0,28.0,28.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-84ba4889-9d71-4731-9f74-736c1be6214e
barbie nfl super bowl champion doll hrm76,32,62.5,89.99,75.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d0ff2888-6086-4a69-8e43-62d3b10ea4b8
barbie pink collection doll pink premiere gtj76,22,119.96,249.99,159.07,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4e801c53-60fa-498c-82ef-735141230d1f
barbie pink collection doll 2 gxl13,17,69.99,249.99,140.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a1722804-1371-4edc-bc92-69b03fafef07
